post,closedQ
相爱两个人的事情合不合适两个家庭的事情,你覺得同佢適唔適合啊？
我对人生感到迷茫了怎么破,你係咪覺得迷茫?
哎呦~~你都快抑郁了,你抑鬱咗幾耐？
我不啊。我是习惯成自然。你是若即若离，不同的不同的~,你真係覺得習慣成自然?
怎么嘞？睡得这么少，难道是失眠？,除咗失眠之外有冇其他問題嗎？
难过委屈一个云南人一辈子都难忘的夏天,係咪有人屈你？
我最晚还失眠了,除咗失眠之外有冇其他問題嗎？
失眠了。,除咗失眠之外有冇其他問題嗎？
你是又失眠了？,除咗失眠之外有冇其他問題嗎？
找你找的好辛苦,係咪覺得壓力好大?
咳咳~~不要这样的表情嘛~~妞们等你等得好辛苦哇づ﹏ど,係咪覺得壓力好大?
怎么办？失眠了，丝毫不想睡。我不会又一直睁着眼到天亮吧？,除咗失眠之外有冇其他問題嗎？
做妈妈好辛苦,係咪覺得壓力好大?
哈哈哈，你也失眠啊，我最近毛病太多，开药都无从下手了,除咗失眠之外有冇其他問題嗎？
在学校里的每一天啊感觉自己一个朋友都没真的好孤单啊。,你係咪覺得孤單但係唔想同佢地出去？
我又失眠了躺了一个小时还是睡不了,除咗失眠之外有冇其他問題嗎？
又失眠了。。。。,除咗失眠之外有冇其他問題嗎？
你肿木老失眠，睡前喝点牛奶吧,除咗失眠之外有冇其他問題嗎？
为啥失眠,除咗失眠之外有冇其他問題嗎？
失眠,除咗失眠之外有冇其他問題嗎？
我最近每天失眠到这个点，早上眼睛都睁不开,除咗失眠之外有冇其他問題嗎？
2点睡不着就叫失眠么,除咗失眠之外有冇其他問題嗎？
算什么，我失眠七八年了。。。。欢迎你加入组织！,除咗失眠之外有冇其他問題嗎？
真的是理解，前女友自己一个人，坐车啊，走路回家啊，我就总是很担心，有时候联系不到，生怕出事,你會唔會想有個人陪自己？
我昨晚是没啥事的失眠你咋了,除咗失眠之外有冇其他問題嗎？
你这赞点得很冷血吖，你也经常失眠吗,除咗失眠之外有冇其他問題嗎？
2013年最悲催的是我竟然失眠了,除咗失眠之外有冇其他問題嗎？
感觉最近要抑郁了,你抑鬱咗幾耐？
我是佛山的自己一个人去求约,你會唔會想有個人陪自己？
感觉自己好孤独，，，,你係咪覺得好孤獨?
425是不是过了可以考6级我现在好迷茫啊,你係咪覺得迷茫?
你跟他说你的目标是啥,你係咪有好明確嘅目標？
别再说了～凌晨一点半啊，失眠的滋味,除咗失眠之外有冇其他問題嗎？
其实我很满意了不是吗我至少知道了你的名字你的电话听过你的声音看过你的眼睛至少你知道我喜欢你至少你知道不管你怎我都会喜欢你尽管我很难过可我还是喜欢你,你係咪有鍾意既人？
前一阵挺忙的心理压力也不小呀,你有冇試過咩減壓方法啊?
我觉得现在好多证还没考，学习方面欠缺了好多，又快要毕业了，焦虑啊~,你係咪好容易焦慮？
1111来了。我好迷茫。,你係咪覺得迷茫?
失恋的第46天我自己一个人快撑不住了。好累啊,你會唔會想有個人陪自己？
哈哈妖精想死你啦,你係咪覺得好辛苦呀?
为了让你不看见，我可是当饵当的好辛苦~~,係咪覺得壓力好大?
我是从早到晚嗑瓜子吃栗子我现在也难受的想死撑死了,你係咪覺得好辛苦呀?
最近是打游戏打失眠了吗,除咗失眠之外有冇其他問題嗎？
高一生好迷茫,你係咪覺得迷茫?
失眠了呗,除咗失眠之外有冇其他問題嗎？
你失眠阿,除咗失眠之外有冇其他問題嗎？
可以自由选择就绝不委屈自己～年度金句,係咪有人屈你？
失眠了,除咗失眠之外有冇其他問題嗎？
啊，初三好辛苦呀，终于有时间听听巧姐的声音了，好幸福呀，立马有了学习的动力。,係咪覺得壓力好大?
同样是有二战想法的人，距离目标院校一两分之差是我最无法接受的，二战想换学校又不知该去哪里！,你係咪有好明確嘅目標？
好辛苦啊蔡学松不知道那个啥没,係咪覺得壓力好大?
前路迷茫的意思吗,你係咪覺得迷茫?
猜猜那个数字....我猜是7，起码系我两倍以上。2012年目标5位数哈哈,你係咪有好明確嘅目標？
干嘛这么多人失眠，那我这个熟睡的人该如何是好？,除咗失眠之外有冇其他問題嗎？
别慌我这更抑郁连选择的机会都米有！,你抑鬱咗幾耐？
谢谢啦越来越美对我不合适吧,你覺得同佢適唔適合啊？
唉今晚注定失眠,除咗失眠之外有冇其他問題嗎？
做妈妈好辛苦,係咪覺得壓力好大?
度娘好忙、对的、这样都被你看出来了、,係咪有好多嘢要做？
难道你也失眠,除咗失眠之外有冇其他問題嗎？
温柔是问我为什么失眠，喜欢喝哪种酒给我买,除咗失眠之外有冇其他問題嗎？
见到句都觉得句好辛苦了,係咪覺得壓力好大?
运动了还失眠吗我天天睡的可香了,除咗失眠之外有冇其他問題嗎？
我都迷茫了想买但又挑不出来购物车就是删加删加买的最多的就是面膜，然后一双锐步的运动鞋，零食也吃不了,你係咪覺得迷茫?
6毛线，心累，专家，怎么治疗失眠,除咗失眠之外有冇其他問題嗎？
2017.目标完成了么,你係咪有好明確嘅目標？
失眠不是我的错。,除咗失眠之外有冇其他問題嗎？
失眠了。。。,除咗失眠之外有冇其他問題嗎？
宝宝，受委屈了,係咪有人屈你？
打得好辛苦！,係咪覺得壓力好大?
你的目标也就是学悟空卖卖萌了。,你係咪有好明確嘅目標？
很多时候父母的出发点是好的，但是却与我们自身的兴趣背道而驰，最终的结果就是大家都达不到自己的理想目标，可悲呀。。。,你係咪有好明確嘅目標？
要不是性别不合适，我都去追偶吧了,你覺得同佢適唔適合啊？
失眠了。。。,除咗失眠之外有冇其他問題嗎？
班长鲁失眠么。,除咗失眠之外有冇其他問題嗎？
我现在也是一个人坐车，好孤独,你係咪覺得好孤獨?
麻将婆~这个目标还狠遥远~,你係咪有好明確嘅目標？
唉～你们离家远的真的好辛苦,係咪覺得壓力好大?
有一次我给老人让座，她已经在座位上坐了几分钟了，那个时间正好是高峰期，人特别多，没地方站了，我就站在了上面那个高台上，然后这个老人就说：姑娘你着急啥，我这才刚坐下我当时觉得我不让座也顶多是这样的结果委屈加无语加愤怒,係咪有人屈你？
我就是目标不明确,你係咪有好明確嘅目標？
你怎么了这是，总失眠呢？,除咗失眠之外有冇其他問題嗎？
你好忙····忙吃,係咪有好多嘢要做？
看着你~我有想死的冲动,你係咪覺得好辛苦呀?
一件衣服要五百。。好贵啊。。如果我来你店里。。估计你想死的心都有了。。,你係咪覺得好辛苦呀?
周末还工作，好辛苦，很心疼你（送给你三声大鹅叫声）,係咪覺得壓力好大?
美好的一天从努力开始，努力的人生才是最好的。在每一个充满希望的清晨告诉自己：努力总能遇见更好的自己，越努力越幸运！真正能激励我们追求的，并不是励志语录，而是身边朋友的积极上进。为了追求的人生目标努力。让自己成为更棒的人!,你係咪有好明確嘅目標？
失眠啊！,除咗失眠之外有冇其他問題嗎？
忧郁王子，好忧郁的眼神~,你係咪好容易就會覺得唔開心？
洗衣服是有多委屈啊,係咪有人屈你？
该认真就认真，不该认真就不认真，或者不想认真就不认真。前一博很正能量，后一搏好颓废，,你係唔係擔心畢業嘅前景啊？
失眠中告诉你同感。,除咗失眠之外有冇其他問題嗎？
扫一眼看成失眠了再看啊是失恋了刚要八卦发现原来是失态了。。。,除咗失眠之外有冇其他問題嗎？
十八岁出门远行，是馀华好惊艳的一个短篇啊,係咪驚會好大壓力？
我就一迷茫的大学生.,你係咪覺得迷茫?
你从哪里来到厦门的？自己一个人怎么这么有勇气,你會唔會想有個人陪自己？
你们维护自己主子可以，你们要骂就骂吧。最让我受不了的就是骂完之后还要说，我们鹿饭素质高，我们翻篇了，只是心疼自己的偶像，你们恺甲还追着我们骂，难不成我们受了委屈还要我们道歉（我*）果然是经历过的战斗力就是强一些,係咪有人屈你？
可惜我一直在迷茫,你係咪覺得迷茫?
带饭是最好的办法。不会显得不合群，更不会委屈自己的胃。,係咪有人屈你？
那我开学是不是要在大件里失眠通宵了,除咗失眠之外有冇其他問題嗎？
思虑型失眠,除咗失眠之外有冇其他問題嗎？
嘿嘿！小锡，你好辛苦哟,係咪覺得壓力好大?
你这是失眠吧,除咗失眠之外有冇其他問題嗎？
你最近咋回事，老失眠,除咗失眠之外有冇其他問題嗎？
其实说实话还好啦，只是听了你的建议吃了牛油虾，结果一盘都交给我了。压力大…,壓力大有無影響到你日常生活呀?
我昨晚也失眠,除咗失眠之外有冇其他問題嗎？
你好忙我还是撤吧,係咪有好多嘢要做？
过周末了，怎么还失眠了？可怜的美美！,除咗失眠之外有冇其他問題嗎？
好忙啊你,係咪有好多嘢要做？
熬一熬就快毕业啦,仲有幾耐畢業？
初中转学我们都是转校生他穿着黑色风衣走进来,你適唔適應到新環境呀？
哈哈哈哈，你啊，爱得深沉，爱得抑郁,你抑鬱咗幾耐？
抑郁要重视,你抑鬱咗幾耐？
去学校了啊好辛苦的样子加油啊,係咪覺得壓力好大?
上火，焦虑，不想考试了……,你係咪好容易焦慮？
可有像我一样买完后发现号码大了不合适却因为喜欢还是硬穿的？,你覺得同佢適唔適合啊？
当时失眠来着，,除咗失眠之外有冇其他問題嗎？
我估计明天将会是我无比沮丧和丢脸的一天，今天临时抱佛脚，恶补一下。我好紧张啊，真的800年都没说了，我现在手心都出汗了，妹儿啊！,係咪因為要學嘅內容比較深？
我估计明天将会是我无比沮丧和丢脸的一天，今天临时抱佛脚，恶补一下。我好紧张啊，真的800年都没说了，我现在手心都出汗了，妹儿啊！,咁會唔會影響到你嘅表現？
焦虑才几天已经不错了我都焦虑七八年了,你係咪好容易焦慮？
抑郁什么？儿子都生出来了，应该很幸福噢，加油噢,你抑鬱咗幾耐？
羡慕失眠有人陪的,除咗失眠之外有冇其他問題嗎？
这就是传说中的那只卖花的小狗么。。。好忧郁的赶脚,你係咪好容易就會覺得唔開心？
你会抑郁啥？,你抑鬱咗幾耐？
深深今天是我生日好孤单,你係咪覺得孤單但係唔想同佢地出去？
哈哈大连真的很好很好姐姐好辛苦呢,係咪覺得壓力好大?
终于有目标啦,你係咪有好明確嘅目標？
生病了发烧了好难受想有人陪啊什么事都是自己一个人,你會唔會想有個人陪自己？
宝华姐，这几天很忙吧，想死你啦,你係咪覺得好辛苦呀?
我们这种星座需要别人关心吗一直都是自生自灭,你有無試過問身邊既人呀?
天呐～又失眠呐？,除咗失眠之外有冇其他問題嗎？
